round,avg_train_loss,test_accuracy,test_loss
1,3.167730767117696,0.0324,4.63627603149414
2,2.514594527732341,0.309,2.65227679977417
3,1.9076477750930987,0.4207,2.1272916198730467
4,1.531081971375318,0.4882,1.898543169593811
5,1.29195107041773,0.5374,1.723911360168457
6,1.1164296911462643,0.5737,1.5665293195724488
7,0.9807215250550272,0.5851,1.5389371000289918
8,0.8670775146429947,0.6028,1.5019192733764648
9,0.779996597351415,0.6129,1.4807879745483399
10,0.706996443398929,0.6193,1.4654311248779297
11,0.6348265500817436,0.6373,1.4289160554885865
12,0.5930583868621825,0.6409,1.4369714265823363
13,0.543649744368647,0.6532,1.4035955308914185
14,0.5157574185244304,0.6528,1.3785265939712525
15,0.4861121424277689,0.6596,1.3785272239685058
16,0.45157612821774984,0.6625,1.3665608671188354
17,0.4358912634067039,0.6689,1.34457344455719
18,0.427953717064264,0.664,1.3634763116836548
19,0.41046217226501946,0.6618,1.3893698392868041
20,0.4058370665399331,0.6719,1.3450594549179078
21,0.39022808550120963,0.6771,1.3301063053131104
22,0.39077552691182466,0.6767,1.3211845781326295
23,0.3920074825573604,0.6728,1.3136104890823364
24,0.3962455178050253,0.6794,1.2947022520065308
25,0.40291288161961936,0.6801,1.3113402313232423
26,0.37067174035054873,0.6887,1.2598650226593018
27,0.3908452478575325,0.687,1.2660517591476441
28,0.3898004767564836,0.69,1.2527790090560913
29,0.42508129765549574,0.6805,1.2926027158737183
30,0.40897757335151513,0.6871,1.2495719018936158
31,0.4294243422383852,0.6902,1.251334264755249
32,0.4138397067677646,0.6927,1.2324019542694091
33,0.44733478617618205,0.6849,1.2913050556182861
34,0.4271472166352047,0.6952,1.2340583753585816
35,0.4438355182378155,0.6964,1.2392332384109497
36,0.45277660187859803,0.6883,1.264002307510376
37,0.44521409204626783,0.6948,1.2310968292236328
38,0.4270718437110703,0.6905,1.2573974822998046
39,0.4744227055228053,0.6931,1.2432109394073487
40,0.4422723290528463,0.6892,1.2386143362045288
41,0.4454982952417802,0.6907,1.2341375570297242
42,0.44927981668471284,0.6963,1.2221095726013183
43,0.43723041225947584,0.7006,1.221447113800049
44,0.4410173258929574,0.6998,1.1914420539855957
45,0.4289310378815802,0.7024,1.1980906122207642
46,0.4675074667511586,0.7019,1.2064915540695191
47,0.4569442206500999,0.7031,1.2012355491638183
48,0.43936115873393866,0.7083,1.1804380348205565
49,0.4532191787426204,0.7083,1.1776177930831908
50,0.446558758795984,0.7089,1.1648812379837037
